quantity,kgPrice,dateUnix,dateIso
1,0.75,1483311600,01/01/2017
5986,3.039779485,1483311600,01/01/2017
14137.2,3.356816767,1483311600,01/01/2017
2500,6.887044,1483311600,01/01/2017
17789.2,3.401646505,1483311600,01/01/2017
5986,3.039779485,1483311600,01/01/2017
2500,5.265452,1483311600,01/01/2017
17789.2,3.401646505,1483311600,01/01/2017
17789.2,3.401646505,1483311600,01/01/2017
1500,6.186446667,1483311600,01/01/2017
34000,3.1613,1483311600,01/01/2017
750,6.329293333,1483311600,01/01/2017
12000,3.4792075,1483311600,01/01/2017
10000,3.31879,1483311600,01/01/2017
2000,4.199985,1483398000,02/01/2017
500,4.086,1483398000,02/01/2017
8000,4.48831125,1483398000,02/01/2017
3000,4.38,1483398000,02/01/2017
2000,4.199985,1483398000,02/01/2017
10000,3.31879,1483398000,02/01/2017
800,8.22975,1483398000,02/01/2017
8000,4.48831125,1483398000,02/01/2017
16000,4.0501,1483484400,03/01/2017
12000,4.016983333,1483570800,04/01/2017
34000,2.9997,1483570800,04/01/2017
14137.2,3.356816767,1483570800,04/01/2017
12000,4.016983333,1483570800,04/01/2017
10000,3.778548,1483570800,04/01/2017
10000,3.778548,1483570800,04/01/2017
64000,3.2,1483657200,05/01/2017
10000,3.778548,1483657200,05/01/2017
17000,2.8785,1483657200,05/01/2017
17000,3.1411,1483743600,06/01/2017
17000,2.8785,1483743600,06/01/2017
7500,5.817618667,1483743600,06/01/2017
10000,3.778548,1483743600,06/01/2017
17000,3.1411,1483743600,06/01/2017
14000,4.802115,1483830000,07/01/2017
6000,4.914361667,1483916400,08/01/2017
14000,3.714857143,1483916400,08/01/2017
14000,3.714857143,1483916400,08/01/2017
13500,2.68,1483916400,08/01/2017
8000,4.15529375,1483916400,08/01/2017
7500,4.846176,1484089200,10/01/2017
15000,3.916167333,1484089200,10/01/2017
16000,3.138,1484175600,11/01/2017
25,4.52,1484175600,11/01/2017
500,3.65,1484175600,11/01/2017
12000,4.0024,1484262000,12/01/2017
17000,2.929,1484262000,12/01/2017
12000,4.0024,1484262000,12/01/2017
7500,4.748268,1484262000,12/01/2017
16000,2.998,1484521200,15/01/2017
15000,5.060781333,1484521200,15/01/2017
5986,3.039779485,1484521200,15/01/2017
5986,3.039779485,1484521200,15/01/2017
14000,4.802115,1484521200,15/01/2017
16000,3.049,1484607600,16/01/2017
30769,3.151200001,1484694000,17/01/2017
3000,5.107996667,1484694000,17/01/2017
14000,4.802115,1484694000,17/01/2017
16000,3.02625,1484694000,17/01/2017
1231,3.151199984,1484694000,17/01/2017
16000,3.02625,1484694000,17/01/2017
17000,2.929,1484780400,18/01/2017
15000,5.68,1484780400,18/01/2017
15000,5.68,1484780400,18/01/2017
17789.2,3.651741506,1484780400,18/01/2017
17789.2,3.612054505,1484866800,19/01/2017
10000,3.620699,1484866800,19/01/2017
4400,4.975552273,1484866800,19/01/2017
16000,2.998,1484866800,19/01/2017
10000,3.423097,1484953200,20/01/2017
1000,3.56083,1484953200,20/01/2017
3000,5.300366667,1484953200,20/01/2017
17789.2,3.612054505,1484953200,20/01/2017
9000,4.54,1485126000,22/01/2017
14000,3.704214286,1485126000,22/01/2017
14137.2,3.569273972,1485126000,22/01/2017
17789.2,3.612054505,1485126000,22/01/2017
17789.2,3.612054505,1485126000,22/01/2017
15000,3.1,1485126000,22/01/2017
14000,3.704214286,1485126000,22/01/2017
17789.2,3.612054505,1485126000,22/01/2017
14137.2,3.569273972,1485212400,23/01/2017
14137.2,3.569273972,1485212400,23/01/2017
4000,5.4755325,1485212400,23/01/2017
80000,3.2,1485212400,23/01/2017
14137.2,3.569273972,1485298800,24/01/2017
17000,3.1411,1485298800,24/01/2017
50,14.1452,1485298800,24/01/2017
14137.2,3.569273972,1485298800,24/01/2017
12000,3.636365833,1485298800,24/01/2017
16500,2.863030303,1485471600,26/01/2017
12000,3.636365833,1485471600,26/01/2017
15000,3.878178,1485471600,26/01/2017
400,6.0136,1485471600,26/01/2017
20000,3.189911,1485471600,26/01/2017
100,3,1485471600,26/01/2017
14137.2,3.573235153,1485558000,27/01/2017
500,4.0897,1485558000,27/01/2017
17789.2,3.615202482,1485558000,27/01/2017
14137.2,3.573235153,1485558000,27/01/2017
400,6.0136,1485558000,27/01/2017
15000,3.878178,1485558000,27/01/2017
5986,3.216670565,1485730800,29/01/2017
27000,2.64,1485730800,29/01/2017
5986,3.216670565,1485730800,29/01/2017
17789.2,3.615202482,1485730800,29/01/2017
5986,3.216670565,1485730800,29/01/2017
5986,3.216670565,1485730800,29/01/2017
5986,3.216670565,1485817200,30/01/2017
7500,3.480365333,1485817200,30/01/2017
5986,3.216670565,1485817200,30/01/2017
7500,3.525,1485903600,31/01/2017
12000,4.0024,1485903600,31/01/2017
17789.2,3.615202479,1485903600,31/01/2017
12000,4.0024,1485903600,31/01/2017
10000,3.82848,1485903600,31/01/2017
3000,4.802333333,1485903600,31/01/2017
34000,2.9997,1486076400,02/02/2017
10000,3.352491228,1486076400,02/02/2017
30000,3.486990703,1486076400,02/02/2017
10000,3.38172807,1486076400,02/02/2017
16000,3.0704,1486076400,02/02/2017
3.5,50.04857571,1486162800,03/02/2017
14000,3.653071429,1486335600,05/02/2017
17000,3.159469006,1486335600,05/02/2017
14000,3.653071429,1486335600,05/02/2017
2000,7.85754498,1486335600,05/02/2017
16000,2.998,1486335600,05/02/2017
7500,4.734934672,1486335600,05/02/2017
1000,7.0955,1486335600,05/02/2017
10000,3.82848,1486335600,05/02/2017
7500,4.734934672,1486335600,05/02/2017
16000,3.049,1486422000,06/02/2017
16000,3.9246875,1486422000,06/02/2017
6600,9.901216706,1486422000,06/02/2017
16000,3.049,1486422000,06/02/2017
14000,4.887562026,1486422000,06/02/2017
16000,2.998,1486422000,06/02/2017
34000,3.0805,1486422000,06/02/2017
14000,4.887562026,1486508400,07/02/2017
6000,4.922743628,1486508400,07/02/2017
14000,4.887562026,1486508400,07/02/2017
6000,4.928975512,1486594800,08/02/2017
16000,3.451875,1486594800,08/02/2017
17789.2,3.612054512,1486594800,08/02/2017
17789.2,3.651741513,1486594800,08/02/2017
17789.2,3.651741513,1486594800,08/02/2017
15000,5.68,1486594800,08/02/2017
4000,5.479032498,1486681200,09/02/2017
7500,4.269822788,1486681200,09/02/2017
8000,3.1815,1486681200,09/02/2017
96000,3.2,1486681200,09/02/2017
16000,3.451875,1486681200,09/02/2017
8000,3.2926,1486767600,10/02/2017
15500,4.491048392,1486767600,10/02/2017
2000,3.9996,1486767600,10/02/2017
200,3.949991005,1486940400,12/02/2017
17789.2,3.600811735,1486940400,12/02/2017
17789.2,3.600811735,1486940400,12/02/2017
14000,3.6595,1486940400,12/02/2017
2000,3.223388306,1486940400,12/02/2017
14000,3.6595,1486940400,12/02/2017
16000,3.0704,1487026800,13/02/2017
3.5,50.04857571,1487026800,13/02/2017
5500,5.711486984,1487026800,13/02/2017
2950,4.964688132,1487026800,13/02/2017
17000,3.2825,1487026800,13/02/2017
17789.2,3.600811735,1487113200,14/02/2017
17789.2,3.651741513,1487113200,14/02/2017
8086,4.141000002,1487199600,15/02/2017
5000,3.17324576,1487199600,15/02/2017
4000,3.78,1487199600,15/02/2017
12000,3.17324576,1487199600,15/02/2017
17000,3.131,1487199600,15/02/2017
80000,3.2,1487286000,16/02/2017
17789.2,3.600811734,1487286000,16/02/2017
14137.2,3.619213138,1487286000,16/02/2017
6000,4.584732377,1487372400,17/02/2017
2250,4.823564422,1487372400,17/02/2017
14137.2,3.555126898,1487372400,17/02/2017
14137.2,3.619213138,1487372400,17/02/2017
12000,3.632032502,1487372400,17/02/2017
4000,4.299376455,1487372400,17/02/2017
32000,3.2522,1487372400,17/02/2017
500,4.535147392,1487372400,17/02/2017
10000,3.493697007,1487545200,19/02/2017
14137.2,3.555126898,1487545200,19/02/2017
12000,3.632032502,1487545200,19/02/2017
14137.2,3.555126898,1487631600,20/02/2017
8000,3.319290199,1487631600,20/02/2017
1000,4.753052003,1487631600,20/02/2017
2000,4.032021224,1487631600,20/02/2017
34000,3.6663,1487718000,21/02/2017
20000,3.55,1487718000,21/02/2017
5986,3.216670568,1487804400,22/02/2017
5986,3.216670568,1487804400,22/02/2017
5986,3.216670568,1487804400,22/02/2017
5986,3.216670568,1487890800,23/02/2017
14137.2,3.555126898,1487890800,23/02/2017
15200,3.486129601,1487890800,23/02/2017
17000,3.232,1487890800,23/02/2017
14137.2,3.619213138,1487890800,23/02/2017
1500,4.081632653,1487890800,23/02/2017
17000,3.232,1487890800,23/02/2017
5986,3.216670568,1487890800,23/02/2017
10000,3.493697007,1487890800,23/02/2017
5986,3.216670568,1487977200,24/02/2017
150,5.003779289,1487977200,24/02/2017
17789.2,3.651741511,1487977200,24/02/2017
17789.2,3.600811734,1487977200,24/02/2017
5986,3.216670568,1487977200,24/02/2017
51000,3.215327784,1487977200,24/02/2017
15000,5.207349337,1487977200,24/02/2017
5200,4.952142304,1487977200,24/02/2017
17789.2,3.600811734,1488150000,26/02/2017
8000,4.740291251,1488150000,26/02/2017
670,3.162714064,1488236400,27/02/2017
14137.2,3.619213138,1488236400,27/02/2017
17000,3.232,1488236400,27/02/2017
13600,3.262300002,1488236400,27/02/2017
33330,3.162713999,1488236400,27/02/2017
20400,3.262299999,1488236400,27/02/2017
34000,3.131,1488409200,01/03/2017
16000,3.135798153,1488409200,01/03/2017
16000,3.899154119,1488409200,01/03/2017
16000,3.135798153,1488409200,01/03/2017
4000,4.25005303,1488495600,02/03/2017
96000,3.2,1488582000,03/03/2017
16000,3.0704,1488582000,03/03/2017
17789.2,3.600811728,1488582000,03/03/2017
0.03,522.8381373,1488582000,03/03/2017
17000,3.1108,1488754800,05/03/2017
14137.2,3.555126899,1488754800,05/03/2017
25,7.7768,1488754800,05/03/2017
14137.2,3.555126899,1488754800,05/03/2017
17789.2,3.600811728,1488841200,06/03/2017
14137.2,3.555126899,1488841200,06/03/2017
10000,3.403097,1488841200,06/03/2017
2000,4.463694167,1488927600,07/03/2017
1400,3.257575758,1488927600,07/03/2017
6000,4.185872045,1488927600,07/03/2017
17789.2,3.600811728,1488927600,07/03/2017
10000,3.1,1488927600,07/03/2017
2000,3.445009697,1488927600,07/03/2017
17789.2,3.600811728,1488927600,07/03/2017
5986,3.216670565,1489014000,08/03/2017
14137.2,3.555126899,1489014000,08/03/2017
5986,3.216670565,1489014000,08/03/2017
16000,3.498875,1489100400,09/03/2017
10000,3.485299,1489100400,09/03/2017
16000,3.498875,1489100400,09/03/2017
5986,3.216670565,1489100400,09/03/2017
17000,3.100700004,1489100400,09/03/2017
5986,3.216670565,1489100400,09/03/2017
16000,3.118125,1489186800,10/03/2017
16000,3.108125,1489186800,10/03/2017
16000,3.498875,1489186800,10/03/2017
500,9.598,1489186800,10/03/2017
5986,3.216670565,1489359600,12/03/2017
10000,3.403097,1489359600,12/03/2017
10000,3.403097,1489359600,12/03/2017
15000,3.542032667,1489359600,12/03/2017
10000,3.403097,1489359600,12/03/2017
5986,3.216670565,1489359600,12/03/2017
8,6.59157197,1489446000,13/03/2017
12000,4.141,1489446000,13/03/2017
1.5,6.591616161,1489446000,13/03/2017
17000,3.4744,1489446000,13/03/2017
32000,3.2623,1489446000,13/03/2017
14000,3.627357143,1489446000,13/03/2017
5986,3.216670565,1489446000,13/03/2017
5986,3.216670565,1489446000,13/03/2017
14137.2,3.555126899,1489446000,13/03/2017
11500,2.733333333,1489532400,14/03/2017
14000,3.627357143,1489532400,14/03/2017
17000,3.232,1489532400,14/03/2017
17789.2,3.600811728,1489532400,14/03/2017
2000,4.594445349,1489618800,15/03/2017
48000,3.0906,1489618800,15/03/2017
17789.2,3.684551536,1489618800,15/03/2017
4000,4.308483178,1489618800,15/03/2017
4000,3.545920428,1489618800,15/03/2017
1000,4.246511318,1489618800,15/03/2017
17789.2,3.684551536,1489618800,15/03/2017
15000,4.303745737,1489618800,15/03/2017
1500,3.825582739,1489705200,16/03/2017
7068.6,2.20818269,1489705200,16/03/2017
10000,3.9087,1489705200,16/03/2017
5000,3.45,1489705200,16/03/2017
2800,5.1673036,1489705200,16/03/2017
1500,3.825582739,1489705200,16/03/2017
500,3.692,1489705200,16/03/2017
2800,5.1673036,1489791600,17/03/2017
14137.2,3.555126899,1489791600,17/03/2017
200,4.0212,1489791600,17/03/2017
14137.2,3.555126899,1489791600,17/03/2017
8000,4.68887876,1489964400,19/03/2017
5986,3.216670578,1490050800,20/03/2017
5986,3.216670578,1490050800,20/03/2017
17000,3.232,1490137200,21/03/2017
5986,3.216670578,1490310000,23/03/2017
16000,3.199612403,1490310000,23/03/2017
500,3.692,1490396400,24/03/2017
15000,3.537666667,1490396400,24/03/2017
8000,4.68887876,1490396400,24/03/2017
16500,2.863030303,1490565600,26/03/2017
5000,3.333333334,1490565600,26/03/2017
10000,3.9087,1490565600,26/03/2017
9000,3.5,1490652000,27/03/2017
24000,4.747868754,1490652000,27/03/2017
16500,2.842424242,1490738400,28/03/2017
2000,4.806201551,1490738400,28/03/2017
5,247.8,1490738400,28/03/2017
17000,3.232,1490738400,28/03/2017
10000,3.78848,1490824800,29/03/2017
14137.2,3.555126899,1490824800,29/03/2017
15200,3.573019538,1490824800,29/03/2017
16000,3.90125,1490911200,30/03/2017
14137.2,3.555126899,1490911200,30/03/2017
14137.2,3.555126899,1490997600,31/03/2017
17789.2,3.600811728,1490997600,31/03/2017
14137.2,3.555126899,1490997600,31/03/2017
14137.2,3.555126899,1490997600,31/03/2017
30000,3.48698268,1490997600,31/03/2017
4000,5.33333345,1490997600,31/03/2017
500,7.412,1491170400,02/04/2017
14000,3.502768549,1491170400,02/04/2017
1900,4.812631579,1491170400,02/04/2017
700,3.824285714,1491170400,02/04/2017
8000,4.68887876,1491256800,03/04/2017
16000,3.03,1491256800,03/04/2017
25,16.3864,1491256800,03/04/2017
1709,3.716799987,1491343200,04/04/2017
870,3.716800014,1491343200,04/04/2017
2,3.716767372,1491343200,04/04/2017
419,3.716800179,1491343200,04/04/2017
8400,10.19395158,1491343200,04/04/2017
1500,3.868483721,1491429600,05/04/2017
29750,3.317735056,1491429600,05/04/2017
4250,3.317735071,1491429600,05/04/2017
1650,3.423157623,1491429600,05/04/2017
14000,3.612594571,1491775200,09/04/2017
14000,3.612594571,1491775200,09/04/2017
10000,3.2,1491861600,10/04/2017
16000,3.118125,1491948000,11/04/2017
12000,4.141,1491948000,11/04/2017
12000,4.141,1491948000,11/04/2017
16000,3.895054517,1491948000,11/04/2017
14137.2,3.833669326,1492034400,12/04/2017
14137.2,3.759398614,1492034400,12/04/2017
14137.2,3.759398614,1492034400,12/04/2017
14137.2,3.759397193,1492034400,12/04/2017
14137.2,3.759397193,1492034400,12/04/2017
16000,3.8784,1492120800,13/04/2017
500,5.135325618,1492120800,13/04/2017
17789.2,3.835201132,1492207200,14/04/2017
17789.2,3.947066758,1492207200,14/04/2017
17789.2,3.947066758,1492207200,14/04/2017
50,9.2,1492293600,15/04/2017
450,7.246666667,1492293600,15/04/2017
7500,5.61802,1492293600,15/04/2017
300,8.78,1492293600,15/04/2017
750,5.33748702,1492380000,16/04/2017
4000,7.887360008,1492466400,17/04/2017
17000,3.3027,1492466400,17/04/2017
4000,3.56,1492552800,18/04/2017
1000,3.79999891,1492552800,18/04/2017
1000,3.300026697,1492639200,19/04/2017
17000,3.096948131,1492639200,19/04/2017
3000,4.68847352,1492639200,19/04/2017
7000,3.300026697,1492639200,19/04/2017
16000,3.0650625,1492812000,21/04/2017
2000,3.758809711,1492898400,22/04/2017
5986,1.988150687,1492984800,23/04/2017
14000,3.598785714,1492984800,23/04/2017
1000,3.75880971,1492984800,23/04/2017
5986,4.020893754,1492984800,23/04/2017
5986,4.020893754,1493071200,24/04/2017
5986,4.020893754,1493071200,24/04/2017
17789.2,3.899847656,1493071200,24/04/2017
5986,4.020893754,1493071200,24/04/2017
10000,3.9087,1493071200,24/04/2017
300,4.80000992,1493071200,24/04/2017
16000,3.9075,1493157600,25/04/2017
14000,3.598785714,1493157600,25/04/2017
24000,4.71966875,1493157600,25/04/2017
17000,3.0704,1493157600,25/04/2017
17000,3.0704,1493157600,25/04/2017
3000,4.075633463,1493157600,25/04/2017
16000,3.9075,1493157600,25/04/2017
3000,4.118,1493157600,25/04/2017
17789.2,3.917076652,1493244000,26/04/2017
17789.2,3.869856991,1493244000,26/04/2017
8000,4.899308928,1493244000,26/04/2017
12000,3.902416667,1493244000,26/04/2017
17789.2,3.917637101,1493244000,26/04/2017
10000,4.064542005,1493330400,27/04/2017
51000,3.3936,1493330400,27/04/2017
17789.2,3.917637664,1493330400,27/04/2017
8000,3.626340251,1493589600,30/04/2017
17789.2,3.85580183,1493589600,30/04/2017
12000,3.89575,1493589600,30/04/2017
14137.2,3.793070764,1493589600,30/04/2017
5986,4.01704978,1493589600,30/04/2017
12000,3.900332498,1493589600,30/04/2017
5986,4.01704978,1493589600,30/04/2017
6000,4.476381571,1493676000,01/05/2017
11999.5,3.895747314,1493676000,01/05/2017
500,3.540006578,1493676000,01/05/2017
17789.2,3.805210463,1493676000,01/05/2017
400,4.395,1493676000,01/05/2017
10000,4.064542005,1493676000,01/05/2017
4000,3.650000157,1493676000,01/05/2017
4000,4.753842639,1493676000,01/05/2017
2000,3.837118246,1493762400,02/05/2017
34000,3.131,1493762400,02/05/2017
500,3.565132808,1493848800,03/05/2017
5986,3.995223898,1493848800,03/05/2017
14137.2,3.755878789,1493848800,03/05/2017
5986,3.995223898,1493848800,03/05/2017
14137.2,3.755878075,1493848800,03/05/2017
8000,4.480588151,1493848800,03/05/2017
20000,3.462933754,1493848800,03/05/2017
30000,3.487012123,1493935200,04/05/2017
17789.2,3.855241388,1494021600,05/05/2017
5986,3.967066478,1494021600,05/05/2017
10000,3.785488959,1494108000,06/05/2017
5986,3.967068164,1494194400,07/05/2017
16000,3.14,1494194400,07/05/2017
8000,4.449009996,1494194400,07/05/2017
16000,3.14,1494194400,07/05/2017
17789.2,3.855241388,1494194400,07/05/2017
17789.2,3.805209906,1494194400,07/05/2017
5986,3.967068164,1494194400,07/05/2017
16000,3.14,1494194400,07/05/2017
5986,3.967066478,1494194400,07/05/2017
16000,3.14,1494194400,07/05/2017
14137.2,3.792361993,1494194400,07/05/2017
20000,4.3686,1494280800,08/05/2017
6000,4.279705573,1494280800,08/05/2017
17789.2,3.805210465,1494367200,09/05/2017
1800,3.470031546,1494453600,10/05/2017
10000,3.2,1494453600,10/05/2017
5986,3.967066478,1494453600,10/05/2017
5986,3.967068164,1494453600,10/05/2017
16000,3.14,1494540000,11/05/2017
5986,3.967066478,1494540000,11/05/2017
5986,3.967066478,1494540000,11/05/2017
5986,3.967068164,1494540000,11/05/2017
16000,3.118125,1494540000,11/05/2017
